Launch App..
Initiating main..
('Counting words in ', 's3://spark-emr-wc-bucket/spark-emr-wc-inp.txt')
spiderâ€™s: 1
tunnel,: 6
tunnel.: 5
door,: 2
calculated: 1
metal: 8
solemn: 1
points: 1
editions,: 1
breathed: 1
strong,: 1
Its: 2
strong.: 1
saying: 1
Theatre.: 5
Theatre,: 2
Union: 6
4-8818,: 3
4-8818.: 2
gold.: 1
Theatre;: 1
lessons,: 1
colors: 1
stepping: 1
sundial: 2
saying.: 1
earth: 28
clearest,: 1
strength,: 1
count: 1
lessons: 1
explanation.: 1
touches: 1
flowers: 1
afraid.: 1
became: 1
1.E.1: 3
explain: 1
debts: 1
Detention: 1
7-2521,: 10
field.: 2
touched: 8
field,: 1
wise,: 2
change;: 1
Leader,: 1
anger,: 1
edict: 1
do: 66
accessed,: 1
stop: 4
fluid: 1
preferred: 1
haunted: 1
meeting.: 1
report: 4
empty.: 2
happiest: 1
empty,: 1
about.: 1
comply: 6
about,: 1
runs: 3
men?: 1
bar: 2
sky,: 8
sky.: 9
fields: 2
Over: 1
re-fit: 1
them;: 1
SEND: 1
patch: 1
men,: 14
bag: 1
men.: 22
softly: 2
tilled,: 1
rung: 1
8-1164,: 1
them.: 20
them,: 24
steal: 6
ears: 4
brothers.: 15
brothers,: 16
unworthy: 1
disaster: 1
brothers!: 2
resist: 2
brothers?: 1
laughing,: 2
donations.: 1
sparkling: 1
plain,: 3
corrupt: 1
SUCH: 1
Actors,: 1
best: 3
Council,â€: 1
said: 21
draws: 1
request,: 1
face,: 1
rare: 1
quest.: 3
rings: 5
caught.: 1
BUT: 2
earth!: 1
finger: 2
drawn: 1
approach: 2
hearts!â€: 1
treasures:: 1
discovery: 3
preserve: 2
claws: 1
we: 612
never: 40
terms: 19
nature: 1
rolled: 2
she: 1
weak: 1
twinkling: 1
alteration,: 1
cut: 9
drew: 1
extent: 1
(801): 1
Cities.: 2
pity: 3
PROVIDED: 1
protect: 3
curiosity,: 1
(b): 1
met: 1
country: 3
obsolete,: 1
opportunities: 1
tracks: 2
against: 13
â€œThe: 8
ring,: 2
gasped: 1
faces: 9
Dawn: 1
expense: 1
oneâ€™s: 1
asked: 3
and: 770
INDIVISIBLE: 1
Sweeper!: 1
GIVE: 1
doubt.: 1
Sweeper,: 1
probe.: 1
hour.: 1
unprotected: 1
Forest: 3
LLC,: 1
springs: 1
trust: 1
offered: 2
burned.: 1
speak: 17
now,: 6
were:: 1
ceiling.: 1
appears,: 1
three: 12
been: 42
1250-0.txt: 1
removed.: 1
much: 9
birds: 2
warmth: 1
duties: 1
threw: 5
Equality,: 1
life: 4
www.gutenberg.org: 3
spring,: 1
concerning: 2
speeches: 1
needed,: 1
lift: 1
Sweepers: 5
child: 2
worked: 4
voices: 2
Pyreâ€”what: 1
has: 35
ahead: 1
say: 13
air: 5
aim: 2
ugly: 3
near: 1
yet...: 2
ask,: 1
cracked: 2
voice: 13
study: 4
known.: 1
thought,: 4
thought.: 2
played: 1
nowhere,: 1
light.: 4
said:: 19
trees,: 3
it: 190
shame: 3
eighteen: 1
light,: 3
thought:: 1
south,: 1
accepted,: 1
said.: 5
if: 65
grown: 2
containing: 1
heart.: 2
frogâ€™s: 1
heart,: 2
things: 34
make: 9
wound: 1
who: 49
linked: 1
forehead: 2
GUTENBERG: 3
hymns,: 1
passed.: 2
several: 1
eBooks: 4
meets: 1
Room: 1
Cesspool.: 2
can.: 1
middle-aged: 1
clung: 1
evil: 8
hand: 16
transcribe: 1
9-2642,: 1
opportunity: 1
thoughts: 8
grow.: 1
bell.: 1
narrow: 1
kept: 4
brothers!â€: 2
